type,x,y,z,rx,ry,rz
start,0.0025,-0.51353,0.1335,-2.2,2.2,0.0
motion,-0.0175,-0.5335300000000001,0.1335,-2.2,2.2,0.0
motion,-0.0175,-0.5335300000000001,0.08843789846080774,-2.2,2.2,0.0
motion,-0.0175,-0.5335300000000001,0.1335,-2.2,2.2,0.0
motion,-0.0175,-0.52853,0.1335,-2.2,2.2,0.0
motion,-0.0175,-0.52853,0.09614430312708905,-2.2,2.2,0.0
motion,-0.0175,-0.52853,0.1335,-2.2,2.2,0.0
motion,-0.0175,-0.52353,0.1335,-2.2,2.2,0.0
motion,-0.0175,-0.52353,0.10253843814072519,-2.2,2.2,0.0
motion,-0.0175,-0.52353,0.1335,-2.2,2.2,0.0
motion,-0.0175,-0.51853,0.1335,-2.2,2.2,0.0
motion,-0.0175,-0.51853,0.1068869569835133,-2.2,2.2,0.0
motion,-0.0175,-0.51853,0.1335,-2.2,2.2,0.0
motion,-0.0175,-0.51353,0.1335,-2.2,2.2,0.0
motion,-0.0175,-0.51353,0.10906821383245902,-2.2,2.2,0.0
motion,-0.0175,-0.51353,0.1335,-2.2,2.2,0.0
motion,-0.0175,-0.50853,0.1335,-2.2,2.2,0.0
motion,-0.0175,-0.50853,0.10915910029986559,-2.2,2.2,0.0
motion,-0.0175,-0.50853,0.1335,-2.2,2.2,0.0
motion,-0.0175,-0.50353,0.1335,-2.2,2.2,0.0
motion,-0.0175,-0.50353,0.10735298285469352,-2.2,2.2,0.0
motion,-0.0175,-0.50353,0.1335,-2.2,2.2,0.0
motion,-0.0175,-0.49853000000000003,0.1335,-2.2,2.2,0.0
motion,-0.0175,-0.49853000000000003,0.10304356289341088,-2.2,2.2,0.0
motion,-0.0175,-0.49853000000000003,0.1335,-2.2,2.2,0.0
motion,-0.0175,-0.49353,0.1335,-2.2,2.2,0.0
motion,-0.0175,-0.49353,0.09571645480034235,-2.2,2.2,0.0
motion,-0.0175,-0.49353,0.1335,-2.2,2.2,0.0
motion,-0.012499999999999999,-0.49353,0.1335,-2.2,2.2,0.0
motion,-0.012499999999999999,-0.49353,0.1046471251070093,-2.2,2.2,0.0
motion,-0.012499999999999999,-0.49353,0.1335,-2.2,2.2,0.0
motion,-0.0075,-0.49353,0.1335,-2.2,2.2,0.0
motion,-0.0075,-0.49353,0.11026039384005604,-2.2,2.2,0.0
motion,-0.0075,-0.49353,0.1335,-2.2,2.2,0.0
motion,-0.0025,-0.49353,0.1335,-2.2,2.2,0.0
motion,-0.0025,-0.49353,0.11316695670225385,-2.2,2.2,0.0
motion,-0.0025,-0.49353,0.1335,-2.2,2.2,0.0
motion,0.0025,-0.49353,0.1335,-2.2,2.2,0.0
motion,0.0025,-0.49353,0.11432194520992536,-2.2,2.2,0.0
motion,0.0025,-0.49353,0.1335,-2.2,2.2,0.0
motion,0.0075,-0.49353,0.1335,-2.2,2.2,0.0
motion,0.0075,-0.49353,0.11380586467242781,-2.2,2.2,0.0
motion,0.0075,-0.49353,0.1335,-2.2,2.2,0.0
motion,0.0125,-0.49353,0.1335,-2.2,2.2,0.0
motion,0.0125,-0.49353,0.11126756470848057,-2.2,2.2,0.0
motion,0.0125,-0.49353,0.1335,-2.2,2.2,0.0
motion,0.017499999999999998,-0.49353,0.1335,-2.2,2.2,0.0
motion,0.017499999999999998,-0.49353,0.10617187570520281,-2.2,2.2,0.0
motion,0.017499999999999998,-0.49353,0.1335,-2.2,2.2,0.0
motion,0.0225,-0.49353,0.1335,-2.2,2.2,0.0
motion,0.0225,-0.49353,0.0987432858241287,-2.2,2.2,0.0
motion,0.0225,-0.49353,0.1335,-2.2,2.2,0.0
motion,0.0225,-0.49853000000000003,0.1335,-2.2,2.2,0.0
motion,0.0225,-0.49853000000000003,0.10496252375567294,-2.2,2.2,0.0
motion,0.0225,-0.49853000000000003,0.1335,-2.2,2.2,0.0
motion,0.0225,-0.50353,0.1335,-2.2,2.2,0.0
motion,0.0225,-0.50353,0.10879593165833593,-2.2,2.2,0.0
motion,0.0225,-0.50353,0.1335,-2.2,2.2,0.0
motion,0.0225,-0.50853,0.1335,-2.2,2.2,0.0
motion,0.0225,-0.50853,0.10996652509136287,-2.2,2.2,0.0
motion,0.0225,-0.50853,0.1335,-2.2,2.2,0.0
motion,0.0225,-0.51353,0.1335,-2.2,2.2,0.0
motion,0.0225,-0.51353,0.1092847619358864,-2.2,2.2,0.0
motion,0.0225,-0.51353,0.1335,-2.2,2.2,0.0
motion,0.0225,-0.51853,0.1335,-2.2,2.2,0.0
motion,0.0225,-0.51853,0.10676955724489492,-2.2,2.2,0.0
motion,0.0225,-0.51853,0.1335,-2.2,2.2,0.0
motion,0.0225,-0.52353,0.1335,-2.2,2.2,0.0
motion,0.0225,-0.52353,0.10238503380029806,-2.2,2.2,0.0
motion,0.0225,-0.52353,0.1335,-2.2,2.2,0.0
motion,0.0225,-0.52853,0.1335,-2.2,2.2,0.0
motion,0.0225,-0.52853,0.09625341552470651,-2.2,2.2,0.0
motion,0.0225,-0.52853,0.1335,-2.2,2.2,0.0
motion,0.0225,-0.5335300000000001,0.1335,-2.2,2.2,0.0
motion,0.0225,-0.5335300000000001,0.08823887609106451,-2.2,2.2,0.0
motion,0.0225,-0.5335300000000001,0.1335,-2.2,2.2,0.0
motion,0.017499999999999998,-0.5335300000000001,0.1335,-2.2,2.2,0.0
motion,0.017499999999999998,-0.5335300000000001,0.09485966090532527,-2.2,2.2,0.0
motion,0.017499999999999998,-0.5335300000000001,0.1335,-2.2,2.2,0.0
motion,0.0125,-0.5335300000000001,0.1335,-2.2,2.2,0.0
motion,0.0125,-0.5335300000000001,0.09987104064871916,-2.2,2.2,0.0
motion,0.0125,-0.5335300000000001,0.1335,-2.2,2.2,0.0
motion,0.0075,-0.5335300000000001,0.1335,-2.2,2.2,0.0
motion,0.0075,-0.5335300000000001,0.10323477399875677,-2.2,2.2,0.0
motion,0.0075,-0.5335300000000001,0.1335,-2.2,2.2,0.0
motion,0.0025,-0.5335300000000001,0.1335,-2.2,2.2,0.0
motion,0.0025,-0.5335300000000001,0.10463595988334029,-2.2,2.2,0.0
motion,0.0025,-0.5335300000000001,0.1335,-2.2,2.2,0.0
motion,-0.0025,-0.5335300000000001,0.1335,-2.2,2.2,0.0
motion,-0.0025,-0.5335300000000001,0.10376081571265577,-2.2,2.2,0.0
motion,-0.0025,-0.5335300000000001,0.1335,-2.2,2.2,0.0
motion,-0.0075,-0.5335300000000001,0.1335,-2.2,2.2,0.0
motion,-0.0075,-0.5335300000000001,0.1008577320952537,-2.2,2.2,0.0
motion,-0.0075,-0.5335300000000001,0.1335,-2.2,2.2,0.0
motion,-0.012499999999999999,-0.5335300000000001,0.1335,-2.2,2.2,0.0
motion,-0.012499999999999999,-0.5335300000000001,0.09563941224890052,-2.2,2.2,0.0
motion,-0.012499999999999999,-0.5335300000000001,0.1335,-2.2,2.2,0.0
motion,-0.012499999999999999,-0.52853,0.1335,-2.2,2.2,0.0
motion,-0.012499999999999999,-0.52853,0.10428263430882703,-2.2,2.2,0.0
motion,-0.012499999999999999,-0.52853,0.1335,-2.2,2.2,0.0
motion,-0.012499999999999999,-0.52353,0.1335,-2.2,2.2,0.0
motion,-0.012499999999999999,-0.52353,0.11118627947234574,-2.2,2.2,0.0
motion,-0.012499999999999999,-0.52353,0.1335,-2.2,2.2,0.0
motion,-0.012499999999999999,-0.51853,0.1335,-2.2,2.2,0.0
motion,-0.012499999999999999,-0.51853,0.11538221220805697,-2.2,2.2,0.0
motion,-0.012499999999999999,-0.51853,0.1335,-2.2,2.2,0.0
motion,-0.012499999999999999,-0.51353,0.1335,-2.2,2.2,0.0
motion,-0.012499999999999999,-0.51353,0.11751228119919457,-2.2,2.2,0.0
motion,-0.012499999999999999,-0.51353,0.1335,-2.2,2.2,0.0
motion,-0.012499999999999999,-0.50853,0.1335,-2.2,2.2,0.0
motion,-0.012499999999999999,-0.50853,0.11807680628614757,-2.2,2.2,0.0
motion,-0.012499999999999999,-0.50853,0.1335,-2.2,2.2,0.0
motion,-0.012499999999999999,-0.50353,0.1335,-2.2,2.2,0.0
motion,-0.012499999999999999,-0.50353,0.11683465460218406,-2.2,2.2,0.0
motion,-0.012499999999999999,-0.50353,0.1335,-2.2,2.2,0.0
motion,-0.012499999999999999,-0.49853000000000003,0.1335,-2.2,2.2,0.0
motion,-0.012499999999999999,-0.49853000000000003,0.11421670368120879,-2.2,2.2,0.0
motion,-0.012499999999999999,-0.49853000000000003,0.1335,-2.2,2.2,0.0
motion,-0.0075,-0.49853000000000003,0.1335,-2.2,2.2,0.0
motion,-0.0075,-0.49853000000000003,0.11787813284000716,-2.2,2.2,0.0
motion,-0.0075,-0.49853000000000003,0.1335,-2.2,2.2,0.0
motion,-0.0025,-0.49853000000000003,0.1335,-2.2,2.2,0.0
motion,-0.0025,-0.49853000000000003,0.11978032382655342,-2.2,2.2,0.0
motion,-0.0025,-0.49853000000000003,0.1335,-2.2,2.2,0.0
motion,0.0025,-0.49853000000000003,0.1335,-2.2,2.2,0.0
motion,0.0025,-0.49853000000000003,0.12030700139455684,-2.2,2.2,0.0
motion,0.0025,-0.49853000000000003,0.1335,-2.2,2.2,0.0
motion,0.0075,-0.49853000000000003,0.1335,-2.2,2.2,0.0
motion,0.0075,-0.49853000000000003,0.1194405029944547,-2.2,2.2,0.0
motion,0.0075,-0.49853000000000003,0.1335,-2.2,2.2,0.0
motion,0.0125,-0.49853000000000003,0.1335,-2.2,2.2,0.0
motion,0.0125,-0.49853000000000003,0.11708690747646955,-2.2,2.2,0.0
motion,0.0125,-0.49853000000000003,0.1335,-2.2,2.2,0.0
motion,0.017499999999999998,-0.49853000000000003,0.1335,-2.2,2.2,0.0
motion,0.017499999999999998,-0.49853000000000003,0.11151164442127215,-2.2,2.2,0.0
motion,0.017499999999999998,-0.49853000000000003,0.1335,-2.2,2.2,0.0
motion,0.017499999999999998,-0.50353,0.1335,-2.2,2.2,0.0
motion,0.017499999999999998,-0.50353,0.1146362985935595,-2.2,2.2,0.0
motion,0.017499999999999998,-0.50353,0.1335,-2.2,2.2,0.0
motion,0.017499999999999998,-0.50853,0.1335,-2.2,2.2,0.0
motion,0.017499999999999998,-0.50853,0.11604754404807949,-2.2,2.2,0.0
motion,0.017499999999999998,-0.50853,0.1335,-2.2,2.2,0.0
motion,0.017499999999999998,-0.51353,0.1335,-2.2,2.2,0.0
motion,0.017499999999999998,-0.51353,0.11505826320719648,-2.2,2.2,0.0
motion,0.017499999999999998,-0.51353,0.1335,-2.2,2.2,0.0
motion,0.017499999999999998,-0.51853,0.1335,-2.2,2.2,0.0
motion,0.017499999999999998,-0.51853,0.11270263581693105,-2.2,2.2,0.0
motion,0.017499999999999998,-0.51853,0.1335,-2.2,2.2,0.0
motion,0.017499999999999998,-0.52353,0.1335,-2.2,2.2,0.0
motion,0.017499999999999998,-0.52353,0.10806003211924475,-2.2,2.2,0.0
motion,0.017499999999999998,-0.52353,0.1335,-2.2,2.2,0.0
motion,0.017499999999999998,-0.52853,0.1335,-2.2,2.2,0.0
motion,0.017499999999999998,-0.52853,0.1031497491312583,-2.2,2.2,0.0
motion,0.017499999999999998,-0.52853,0.1335,-2.2,2.2,0.0
motion,0.0125,-0.52853,0.1335,-2.2,2.2,0.0
motion,0.0125,-0.52853,0.10814095058230566,-2.2,2.2,0.0
motion,0.0125,-0.52853,0.1335,-2.2,2.2,0.0
motion,0.0075,-0.52853,0.1335,-2.2,2.2,0.0
motion,0.0075,-0.52853,0.11127240014548045,-2.2,2.2,0.0
motion,0.0075,-0.52853,0.1335,-2.2,2.2,0.0
motion,0.0025,-0.52853,0.1335,-2.2,2.2,0.0
motion,0.0025,-0.52853,0.11307413345169404,-2.2,2.2,0.0
motion,0.0025,-0.52853,0.1335,-2.2,2.2,0.0
motion,-0.0025,-0.52853,0.1335,-2.2,2.2,0.0
motion,-0.0025,-0.52853,0.11297232117884323,-2.2,2.2,0.0
motion,-0.0025,-0.52853,0.1335,-2.2,2.2,0.0
motion,-0.0075,-0.52853,0.1335,-2.2,2.2,0.0
motion,-0.0075,-0.52853,0.11078304843891101,-2.2,2.2,0.0
motion,-0.0075,-0.52853,0.1335,-2.2,2.2,0.0
motion,-0.0075,-0.52353,0.1335,-2.2,2.2,0.0
motion,-0.0075,-0.52353,0.11695373627342559,-2.2,2.2,0.0
motion,-0.0075,-0.52353,0.1335,-2.2,2.2,0.0
motion,-0.0075,-0.51853,0.1335,-2.2,2.2,0.0
motion,-0.0075,-0.51853,0.1200822805739482,-2.2,2.2,0.0
motion,-0.0075,-0.51853,0.1335,-2.2,2.2,0.0
motion,-0.0075,-0.51353,0.1335,-2.2,2.2,0.0
motion,-0.0075,-0.51353,0.1219126589770058,-2.2,2.2,0.0
motion,-0.0075,-0.51353,0.1335,-2.2,2.2,0.0
motion,-0.0075,-0.50853,0.1335,-2.2,2.2,0.0
motion,-0.0075,-0.50853,0.12202231007938057,-2.2,2.2,0.0
motion,-0.0075,-0.50853,0.1335,-2.2,2.2,0.0
motion,-0.0075,-0.50353,0.1335,-2.2,2.2,0.0
motion,-0.0075,-0.50353,0.12081743552940123,-2.2,2.2,0.0
motion,-0.0075,-0.50353,0.1335,-2.2,2.2,0.0
motion,-0.0025,-0.50353,0.1335,-2.2,2.2,0.0
motion,-0.0025,-0.50353,0.1222131279279813,-2.2,2.2,0.0
motion,-0.0025,-0.50353,0.1335,-2.2,2.2,0.0
motion,0.0025,-0.50353,0.1335,-2.2,2.2,0.0
motion,0.0025,-0.50353,0.12236690235725199,-2.2,2.2,0.0
motion,0.0025,-0.50353,0.1335,-2.2,2.2,0.0
motion,0.0075,-0.50353,0.1335,-2.2,2.2,0.0
motion,0.0075,-0.50353,0.12126894329712308,-2.2,2.2,0.0
motion,0.0075,-0.50353,0.1335,-2.2,2.2,0.0
motion,0.0125,-0.50353,0.1335,-2.2,2.2,0.0
motion,0.0125,-0.50353,0.11873045007923931,-2.2,2.2,0.0
motion,0.0125,-0.50353,0.1335,-2.2,2.2,0.0
motion,0.0125,-0.50853,0.1335,-2.2,2.2,0.0
motion,0.0125,-0.50853,0.11952687724778009,-2.2,2.2,0.0
motion,0.0125,-0.50853,0.1335,-2.2,2.2,0.0
motion,0.0125,-0.51353,0.1335,-2.2,2.2,0.0
motion,0.0125,-0.51353,0.11898516350682646,-2.2,2.2,0.0
motion,0.0125,-0.51353,0.1335,-2.2,2.2,0.0
motion,0.0125,-0.51853,0.1335,-2.2,2.2,0.0
motion,0.0125,-0.51853,0.11722732627162619,-2.2,2.2,0.0
motion,0.0125,-0.51853,0.1335,-2.2,2.2,0.0
motion,0.0125,-0.52353,0.1335,-2.2,2.2,0.0
motion,0.0125,-0.52353,0.11353632665758132,-2.2,2.2,0.0
motion,0.0125,-0.52353,0.1335,-2.2,2.2,0.0
motion,0.0075,-0.52353,0.1335,-2.2,2.2,0.0
motion,0.0075,-0.52353,0.11689791960413157,-2.2,2.2,0.0
motion,0.0075,-0.52353,0.1335,-2.2,2.2,0.0
motion,0.0025,-0.52353,0.1335,-2.2,2.2,0.0
motion,0.0025,-0.52353,0.11827511470005618,-2.2,2.2,0.0
motion,0.0025,-0.52353,0.1335,-2.2,2.2,0.0
motion,-0.0025,-0.52353,0.1335,-2.2,2.2,0.0
