press,t_peak,peak_Fz,peak_Fmag,Fx,Fy,Fz,x,y,z,rx,ry,rz
1,1783594973.487332,2.3182,2.3252,0.0758,-0.1635,2.3182,-0.012640,-0.510167,0.181951,-0.000194,2.960698,-0.000351
2,1783594979.635994,1.2072,1.2288,-0.0371,0.2263,1.2072,-0.033037,-0.510208,0.175031,0.000113,2.737435,-0.000429
3,1783594986.130011,2.1710,2.1716,0.0290,-0.0422,2.1710,-0.055303,-0.510159,0.160253,-0.000038,2.430854,0.000018
4,1783594991.407550,2.0990,2.0992,-0.0228,0.0161,2.0990,-0.060514,-0.510151,0.154889,0.000193,2.382412,-0.000220
5,1783594997.017641,2.5644,2.5661,-0.0181,-0.0923,2.5644,-0.067667,-0.510161,0.146855,0.000007,2.284914,-0.000380
6,1783595002.383613,2.8707,2.8762,-0.0478,-0.1707,2.8707,-0.072159,-0.510137,0.140515,0.000544,2.225867,0.000263
7,1783595007.896164,3.6037,3.6213,-0.0332,-0.3551,3.6037,-0.077249,-0.510164,0.132604,0.000092,2.142880,0.000110
8,1783595012.817596,3.7585,3.7761,-0.0472,-0.3618,3.7585,-0.078173,-0.510164,0.130151,0.000104,2.153950,-0.000041
9,1783595018.186333,4.6201,4.6573,0.0099,-0.5876,4.6201,-0.083919,-0.510189,0.123282,-0.000162,2.080940,-0.000344
10,1783595023.185480,5.3859,5.4161,-0.0568,-0.5681,5.3859,-0.082567,-0.510155,0.120191,0.000303,2.092037,0.000109
11,1783595028.574326,6.6307,6.6449,0.0458,-0.4324,6.6307,-0.085678,-0.510214,0.113135,-0.000476,2.027319,-0.000574
12,1783595034.119588,-4.8485,6.5467,-0.9140,4.3031,-4.8485,-0.086761,-0.510152,0.109771,-0.000005,2.025708,-0.000063
13,1783595048.356560,2.0763,2.0778,0.0052,-0.0798,2.0763,-0.012156,-0.514006,0.181963,-0.386810,2.936755,0.034695
14,1783595054.483459,1.0523,1.0893,-0.1229,0.2533,1.0523,-0.031629,-0.519208,0.174650,-0.357762,2.716618,0.073105
15,1783595060.646080,1.5371,1.5487,-0.1239,0.1425,1.5371,-0.049490,-0.524000,0.163370,-0.326974,2.484476,0.108103
