press,t_peak,peak_Fz,peak_Fmag,Fx,Fy,Fz,x,y,z,rx,ry,rz
1,1783605430.306645,-0.7682,0.8507,-0.1301,0.3417,-0.7682,0.000422,-0.509792,0.192241,-0.000039,3.141581,-0.000206
2,1783605435.438791,1.0551,1.0733,-0.0896,0.1752,1.0551,-0.024435,-0.509805,0.178019,-0.000118,2.829176,-0.000081
3,1783605441.931195,1.5501,1.5507,-0.0392,0.0173,1.5501,-0.048816,-0.509770,0.165348,-0.000168,2.502265,-0.000342
4,1783605447.356266,1.0851,1.0952,-0.0589,0.1360,1.0851,-0.054843,-0.509803,0.160051,-0.000382,2.441960,-0.000296
5,1783605452.988956,1.5337,1.5345,-0.0477,-0.0061,1.5337,-0.062662,-0.509802,0.152527,-0.000479,2.337446,-0.000462
6,1783605458.359074,1.7211,1.7225,-0.0522,-0.0453,1.7211,-0.067061,-0.509808,0.146837,-0.000074,2.278718,-0.000396
7,1783605463.804075,2.2939,2.3038,-0.0272,-0.2119,2.2939,-0.071835,-0.509782,0.140543,0.000203,2.211596,0.000101
8,1783605468.873724,2.2529,2.2598,-0.0238,-0.1751,2.2529,-0.073582,-0.509797,0.137189,-0.000020,2.199426,0.000048
9,1783605473.876129,3.2151,3.2376,0.0339,-0.3796,3.2151,-0.076024,-0.509790,0.132631,-0.000289,2.165066,-0.000275
10,1783605478.845888,4.1594,4.1987,0.0894,-0.5662,4.1594,-0.077507,-0.509800,0.129074,0.000112,2.149229,0.000012
11,1783605484.106001,5.5427,5.6138,0.1030,-0.8842,5.5427,-0.080327,-0.509761,0.123650,-0.000304,2.103183,0.000021
12,1783605489.214614,7.0503,7.1451,0.1360,-1.1517,7.0503,-0.082408,-0.509777,0.119399,-0.000367,2.075384,-0.000439
13,1783605504.651849,0.7425,0.8125,-0.0346,0.3281,0.7425,0.000515,-0.510589,0.183688,0.000010,3.141536,-0.000531
14,1783605511.397567,1.4114,1.4181,-0.1165,0.0728,1.4114,-0.025321,-0.517501,0.177365,-0.366224,2.779724,0.062996
15,1783605518.487239,-1.2477,1.3554,-0.2435,0.4700,-1.2477,-0.042083,-0.521967,0.177433,-0.346949,2.641363,0.085455
16,1783605524.327524,1.2277,1.2355,-0.1266,0.0564,1.2277,-0.052947,-0.524939,0.160098,-0.319159,2.424491,0.116455
17,1783605528.859699,1.5731,1.5821,-0.1661,-0.0296,1.5731,-0.061196,-0.527129,0.151964,-0.303872,2.308530,0.131307
18,1783605534.408630,1.9350,1.9446,-0.1569,-0.1115,1.9350,-0.064612,-0.528043,0.146795,-0.297961,2.262864,0.137076
19,1783605540.659677,2.8537,2.8797,-0.0837,-0.3773,2.8537,-0.070251,-0.529571,0.139229,-0.286153,2.173396,0.147681
20,1783605545.865505,3.3878,3.4266,-0.0511,-0.5120,3.3878,-0.072964,-0.530275,0.134622,-0.281555,2.139131,0.151665
21,1783605550.053550,3.7717,3.8138,-0.0954,-0.5573,3.7717,-0.074360,-0.530682,0.131026,-0.279664,2.123499,0.153304
22,1783605554.872412,4.7939,4.8553,-0.0410,-0.7687,4.7939,-0.075407,-0.530961,0.128063,-0.278886,2.118276,0.153924
23,1783605560.894982,6.3332,6.4358,0.0545,-1.1435,6.3332,-0.077464,-0.531472,0.123681,-0.274914,2.088762,0.157325
24,1783605565.123043,6.8912,6.9839,-0.1028,-1.1297,6.8912,-0.077975,-0.531605,0.121660,-0.276372,2.099795,0.156091
