press,t_peak,peak_Fz,peak_Fmag,Fx,Fy,Fz,x,y,z,rx,ry,rz
1,1783590077.456897,0.8472,0.8675,-0.1755,0.0632,0.8472,0.000286,-0.509800,0.183709,0.000009,3.141536,-0.000406
2,1783590084.419908,1.9254,1.9350,-0.0303,-0.1894,1.9254,-0.036773,-0.509777,0.172812,0.000218,2.650227,0.000109
3,1783590090.293799,1.8095,1.8137,0.0036,-0.1234,1.8095,-0.049913,-0.509787,0.164357,-0.000252,2.502204,-0.000249
4,1783590096.047844,2.6240,2.6458,0.1648,-0.2962,2.6240,-0.059891,-0.509796,0.155537,0.000125,2.375312,-0.000329
5,1783590101.712413,2.8673,2.8954,0.1964,-0.3510,2.8673,-0.067371,-0.509812,0.146884,0.000057,2.267586,-0.000349
6,1783590107.146135,2.8279,2.8525,0.1789,-0.3286,2.8279,-0.072180,-0.509805,0.139994,-0.000292,2.200477,-0.000110
7,1783590112.491869,3.1126,3.1431,0.1894,-0.3941,3.1126,-0.076054,-0.509813,0.133602,-0.000047,2.142853,-0.000164
8,1783590117.407465,2.9465,2.9687,0.1814,-0.3138,2.9465,-0.076800,-0.509818,0.131092,-0.000049,2.153940,-0.000140
9,1783590122.850253,4.1321,4.1818,0.2052,-0.6088,4.1321,-0.080681,-0.509789,0.123601,0.000077,2.080950,0.000048
10,1783590127.777792,4.1947,4.2309,0.1503,-0.5316,4.1947,-0.081551,-0.509789,0.121108,0.000286,2.092077,0.000270
11,1783590133.169749,5.1696,5.2026,0.0701,-0.5806,5.1696,-0.084431,-0.509790,0.113950,0.000190,2.027343,0.000143
12,1783590139.149755,-3.6600,4.8181,-1.1402,2.9186,-3.6600,-0.084966,-0.509785,0.111454,0.000048,2.038163,0.000071
13,1783590153.518412,1.0588,1.0634,-0.0440,0.0879,1.0588,0.000390,-0.510613,0.183600,0.000009,3.141549,-0.000319
14,1783590160.332293,1.8538,1.8569,0.0141,-0.1053,1.8538,-0.029935,-0.518760,0.175341,-0.357903,2.716598,0.073055
15,1783590166.460814,2.0022,2.0062,0.0337,-0.1218,2.0022,-0.048036,-0.523619,0.164373,-0.327225,2.484425,0.107951
16,1783590172.387209,2.9977,3.0253,0.1463,-0.3803,2.9977,-0.060789,-0.526996,0.152448,-0.302246,2.297609,0.132984
17,1783590177.606689,3.0574,3.0842,0.2142,-0.3440,3.0574,-0.065148,-0.528191,0.146995,-0.296357,2.252030,0.138392
18,1783590182.702755,3.0407,3.0643,0.2270,-0.3052,3.0407,-0.067581,-0.528808,0.142569,-0.293823,2.231410,0.141051
19,1783590188.278779,3.3839,3.4122,0.2183,-0.3800,3.3839,-0.073566,-0.530469,0.133564,-0.279867,2.128345,0.152970
20,1783590193.323848,3.6071,3.6351,0.1907,-0.4079,3.6071,-0.075166,-0.530842,0.129340,-0.277725,2.112385,0.155081
21,1783590198.538554,3.9264,3.9578,0.1576,-0.4721,3.9264,-0.076299,-0.531160,0.125961,-0.277402,2.107213,0.155231
22,1783590203.309024,4.8080,4.8469,0.1434,-0.5957,4.8080,-0.078834,-0.531906,0.121152,-0.273436,2.077919,0.158488
23,1783590209.735436,5.5195,5.5543,0.0438,-0.6195,5.5195,-0.080787,-0.532393,0.115352,-0.267992,2.035408,0.162935
