press,t_peak,peak_Fz,peak_Fmag,Fx,Fy,Fz,x,y,z,rx,ry,rz
1,1783597329.260043,-0.7956,0.9140,-0.2357,0.3833,-0.7956,0.000402,-0.509760,0.185192,-0.000031,-3.141525,-0.000474
2,1783597334.565136,0.9160,0.9251,-0.1273,0.0259,0.9160,-0.024435,-0.509803,0.178029,-0.000099,2.829173,-0.000104
3,1783597341.049010,2.2838,2.3072,-0.0438,-0.3249,2.2838,-0.048765,-0.509778,0.165317,-0.000138,2.502278,-0.000364
4,1783597346.454316,2.1526,2.1675,-0.0568,-0.2477,2.1526,-0.054843,-0.509803,0.160051,-0.000362,2.441960,-0.000289
5,1783597352.094521,2.7813,2.8104,-0.0227,-0.4023,2.7813,-0.062667,-0.509801,0.152538,-0.000448,2.337447,-0.000491
6,1783597357.474435,3.0258,3.0567,-0.0297,-0.4323,3.0258,-0.067098,-0.509792,0.146833,-0.000021,2.278698,-0.000352
7,1783597362.886303,3.4120,3.4534,-0.0353,-0.5319,3.4120,-0.071844,-0.509767,0.140524,0.000215,2.211604,0.000212
8,1783597367.931365,3.3480,3.3830,-0.0388,-0.4837,3.3480,-0.073578,-0.509805,0.137202,-0.000170,2.199453,-0.000166
9,1783597372.983089,3.8900,3.9363,-0.0296,-0.6016,3.8900,-0.076008,-0.509796,0.132636,-0.000243,2.165024,-0.000293
10,1783597377.955215,4.5359,4.5968,0.0095,-0.7462,4.5359,-0.077507,-0.509799,0.129071,0.000120,2.149244,0.000032
11,1783597383.221032,5.5645,5.6597,0.0346,-1.0332,5.5645,-0.080293,-0.509770,0.123662,-0.000313,2.103184,-0.000060
12,1783597388.318301,6.7888,6.9200,0.0911,-1.3382,6.7888,-0.082370,-0.509787,0.119406,-0.000378,2.075411,-0.000429
13,1783597403.638653,-0.4801,0.6558,-0.1294,0.4277,-0.4801,0.000516,-0.510580,0.186985,-0.000010,-3.141588,-0.000144
14,1783597410.738663,1.2256,1.2376,-0.1497,-0.0846,1.2256,-0.025300,-0.517492,0.177377,-0.365962,2.779737,0.062899
15,1783597416.364199,1.2262,1.2365,-0.1586,-0.0142,1.2262,-0.037514,-0.520767,0.171039,-0.348015,2.641460,0.084807
16,1783597422.592174,2.2791,2.3017,-0.1219,-0.2977,2.2791,-0.052893,-0.524889,0.160034,-0.319229,2.424524,0.116312
17,1783597427.972968,2.9309,2.9655,-0.1022,-0.4400,2.9309,-0.061208,-0.527118,0.151951,-0.303828,2.308560,0.131349
18,1783597433.569478,3.2345,3.2710,-0.0962,-0.4776,3.2345,-0.064611,-0.528040,0.146793,-0.297914,2.262854,0.137097
19,1783597439.771264,3.9525,4.0087,-0.0287,-0.6684,3.9525,-0.070291,-0.529557,0.139245,-0.286064,2.173378,0.147724
20,1783597444.971488,4.4627,4.5296,0.0145,-0.7755,4.4627,-0.072906,-0.530265,0.134609,-0.281654,2.139134,0.151600
21,1783597449.135643,4.6572,4.7223,-0.0576,-0.7797,4.6572,-0.074341,-0.530687,0.131024,-0.279746,2.123483,0.153315
22,1783597454.041659,5.2565,5.3356,-0.0412,-0.9146,5.2565,-0.075407,-0.530949,0.128051,-0.278857,2.118264,0.154005
23,1783597459.230442,6.2151,6.3231,-0.0269,-1.1632,6.2151,-0.077417,-0.531469,0.123645,-0.274994,2.088846,0.157122
24,1783597464.997781,6.4947,6.6083,0.0231,-1.2195,6.4947,-0.078007,-0.531629,0.121716,-0.276505,2.099756,0.155981
25,1783597478.962003,-0.2155,0.4657,-0.0004,0.4129,-0.2155,0.000820,-0.511286,0.185590,-0.000040,-3.141522,-0.000382
26,1783597486.462428,2.0157,2.0403,-0.1104,-0.2959,2.0157,-0.026055,-0.526874,0.176037,-0.711683,2.654117,0.145256
27,1783597492.513094,2.9025,2.9461,-0.0923,-0.4964,2.9025,-0.042123,-0.536123,0.165052,-0.649674,2.423347,0.217013
28,1783597497.524154,1.8755,1.8917,-0.1953,-0.1518,1.8755,-0.043548,-0.536928,0.163078,-0.654225,2.440608,0.212498
29,1783597503.847777,3.3635,3.4091,-0.0982,-0.5470,3.3635,-0.054375,-0.543210,0.151791,-0.605525,2.259668,0.261962
30,1783597509.801653,3.6284,3.6731,-0.0735,-0.5670,3.6284,-0.057562,-0.545031,0.146774,-0.593643,2.215499,0.273324
31,1783597515.053296,3.6933,3.7376,-0.0872,-0.5668,3.6933,-0.060802,-0.546932,0.142002,-0.582910,2.175405,0.283145
32,1783597519.448893,4.4115,4.4667,-0.1149,-0.6906,4.4115,-0.064735,-0.549189,0.135498,-0.565469,2.108925,0.298923
33,1783597525.374954,4.7088,4.7709,-0.0629,-0.7644,4.7088,-0.065382,-0.549587,0.132641,-0.564440,2.106097,0.299591
34,1783597529.466815,5.9232,6.0075,-0.0619,-1.0011,5.9232,-0.067861,-0.551006,0.128302,-0.556523,2.075157,0.306885
35,1783597534.397449,7.1344,7.2529,-0.0077,-1.3059,7.1344,-0.068547,-0.551396,0.124811,-0.553291,2.064422,0.309529
36,1783597539.742512,8.5557,8.7188,0.0684,-1.6771,8.5557,-0.071235,-0.552948,0.119512,-0.540760,2.019781,0.318906
37,1783597554.842103,0.2550,0.4863,0.1171,0.3971,0.2550,0.001320,-0.512004,0.183549,0.000052,3.141560,-0.000241
38,1783597563.052411,2.2021,2.2293,-0.0852,-0.3365,2.2021,-0.020609,-0.533896,0.175859,-1.056272,2.550063,0.216284
39,1783597569.625052,2.4058,2.4292,-0.0544,-0.3319,2.4058,-0.030185,-0.543491,0.168266,-0.997756,2.408716,0.288120
40,1783597574.960052,3.6997,3.7556,-0.0510,-0.6430,3.6997,-0.040341,-0.553613,0.156906,-0.921359,2.224528,0.371499
