press,t_peak,peak_Fz,peak_Fmag,Fx,Fy,Fz,x,y,z,rx,ry,rz
1,1783607603.054706,0.5636,0.6647,0.1298,0.3276,0.5636,0.000410,-0.509801,0.183587,0.000006,3.141533,-0.000552
2,1783607609.477117,1.9511,1.9541,0.1073,-0.0189,1.9511,-0.024515,-0.509818,0.178289,-0.000120,2.829157,-0.000183
3,1783607616.030150,2.8764,2.8928,0.0867,-0.2950,2.8764,-0.048774,-0.509780,0.165320,-0.000159,2.502278,-0.000397
4,1783607621.423145,2.5411,2.5487,0.0250,-0.1957,2.5411,-0.054853,-0.509799,0.160047,-0.000335,2.441960,-0.000286
5,1783607627.078467,2.9621,2.9818,0.0378,-0.3408,2.9621,-0.062824,-0.509791,0.152608,-0.000483,2.337455,-0.000508
6,1783607632.443691,3.1386,3.1596,0.0455,-0.3606,3.1386,-0.067061,-0.509806,0.146829,-0.000082,2.278718,-0.000383
7,1783607637.866979,3.5159,3.5485,0.0724,-0.4748,3.5159,-0.071816,-0.509789,0.140547,0.000189,2.211602,0.000045
8,1783607642.958690,3.3168,3.3418,0.0770,-0.4010,3.3168,-0.073583,-0.509807,0.137205,-0.000137,2.199437,-0.000157
9,1783607647.960246,4.0858,4.1263,0.1002,-0.5684,4.0858,-0.076003,-0.509794,0.132633,-0.000258,2.165040,-0.000293
10,1783607652.929591,4.8533,4.9106,0.1556,-0.7316,4.8533,-0.077507,-0.509799,0.129076,0.000115,2.149245,0.000022
11,1783607658.200139,6.0274,6.1163,0.1653,-1.0258,6.0274,-0.080270,-0.509777,0.123666,-0.000335,2.103212,-0.000118
12,1783607663.299869,7.5687,7.6978,0.2587,-1.3794,7.5687,-0.082370,-0.509786,0.119404,-0.000368,2.075409,-0.000413
13,1783607678.744028,0.7905,0.8863,0.2414,0.3200,0.7905,0.000515,-0.510588,0.183619,0.000010,3.141540,-0.000499
14,1783607685.492410,2.1926,2.1982,0.1290,-0.0912,2.1926,-0.025330,-0.517498,0.177393,-0.366176,2.779715,0.062970
15,1783607691.269960,2.0477,2.0483,0.0469,-0.0206,2.0477,-0.037675,-0.520811,0.171245,-0.348041,2.641502,0.085130
16,1783607697.340492,2.7651,2.7764,0.0075,-0.2508,2.7651,-0.052935,-0.524867,0.160076,-0.319342,2.424692,0.116306
17,1783607702.958605,3.2170,3.2419,0.0003,-0.4015,3.2170,-0.061128,-0.527087,0.151877,-0.303815,2.308596,0.131405
18,1783607708.486296,3.4813,3.5102,0.0061,-0.4495,3.4813,-0.064611,-0.528042,0.146794,-0.297980,2.262857,0.137018
19,1783607713.959525,4.1719,4.2230,0.0338,-0.6541,4.1719,-0.070215,-0.529540,0.139192,-0.286104,2.173421,0.147799
20,1783607719.945511,4.6098,4.6740,0.1280,-0.7613,4.6098,-0.072954,-0.530287,0.134632,-0.281615,2.139141,0.151605
21,1783607724.120091,4.8348,4.8971,0.0623,-0.7762,4.8348,-0.074345,-0.530679,0.131019,-0.279724,2.123497,0.153290
22,1783607729.015335,5.4882,5.5633,0.0937,-0.9062,5.4882,-0.075411,-0.530947,0.128059,-0.278872,2.118276,0.153925
23,1783607734.218289,6.8625,6.9721,0.1366,-1.2241,6.8625,-0.077406,-0.531467,0.123644,-0.274930,2.088822,0.157218
24,1783607739.431902,7.3246,7.4325,0.1089,-1.2575,7.3246,-0.077951,-0.531613,0.121673,-0.276445,2.099805,0.156059
25,1783607754.058928,1.1697,1.2588,0.3749,0.2750,1.1697,0.000830,-0.511363,0.183494,0.000069,3.141541,-0.000257
26,1783607761.437440,2.8131,2.8315,0.2227,-0.2337,2.8131,-0.026115,-0.526913,0.176158,-0.711662,2.654108,0.145218
27,1783607767.480114,3.5195,3.5497,0.1693,-0.4296,3.5195,-0.042187,-0.536164,0.165144,-0.649689,2.423298,0.217000
28,1783607772.485481,2.5138,2.5178,0.0313,-0.1393,2.5138,-0.043577,-0.536947,0.163125,-0.654188,2.440592,0.212529
29,1783607779.510415,3.7882,3.8282,0.1295,-0.5363,3.7882,-0.054432,-0.543228,0.151856,-0.605476,2.259604,0.262065
30,1783607784.109034,3.9757,4.0148,0.0683,-0.5543,3.9757,-0.057562,-0.545029,0.146758,-0.593598,2.215477,0.273416
31,1783607789.323737,3.8120,3.8475,0.0422,-0.5200,3.8120,-0.060700,-0.546843,0.141870,-0.582886,2.175391,0.283311
32,1783607794.831759,4.6005,4.6569,0.0894,-0.7174,4.6005,-0.064437,-0.549033,0.135377,-0.565127,2.108800,0.299156
33,1783607800.347510,4.8095,4.8671,0.1427,-0.7328,4.8095,-0.065371,-0.549579,0.132631,-0.564461,2.106079,0.299622
34,1783607805.534908,5.9221,6.0093,0.1636,-1.0068,5.9221,-0.067292,-0.550679,0.128126,-0.555999,2.074974,0.307054
35,1783607809.370081,7.1726,7.2812,0.1936,-1.2377,7.1726,-0.068550,-0.551392,0.124820,-0.553279,2.064384,0.309479
36,1783607814.725522,9.1685,9.3292,0.2591,-1.7043,9.1685,-0.071093,-0.552856,0.119468,-0.540732,2.019778,0.318974
37,1783607829.812645,1.5436,1.6294,0.4721,0.2228,1.5436,0.001319,-0.512002,0.183624,0.000052,3.141555,-0.000271
38,1783607837.673599,2.8179,2.8355,0.2147,-0.2311,2.8179,-0.020737,-0.533961,0.176087,-1.056347,2.550146,0.216291
39,1783607843.826531,2.9773,2.9927,0.1691,-0.2517,2.9773,-0.030178,-0.543433,0.168166,-0.997683,2.408682,0.288265
40,1783607850.065087,4.0885,4.1321,0.2019,-0.5635,4.0885,-0.040340,-0.553622,0.156929,-0.921432,2.224571,0.371314
41,1783607855.109007,3.3873,3.4100,0.1362,-0.3684,3.3873,-0.041454,-0.554751,0.154796,-0.925672,2.234607,0.367122
42,1783607860.561654,5.0938,5.1609,0.2104,-0.8025,5.0938,-0.048208,-0.561518,0.144016,-0.865063,2.088415,0.426270
43,1783607865.803969,5.1565,5.2253,0.2410,-0.8101,5.1565,-0.050526,-0.563866,0.139209,-0.850930,2.053840,0.438988
44,1783607871.886502,4.5924,4.6465,0.2441,-0.6640,4.5924,-0.051052,-0.564371,0.137255,-0.855103,2.064115,0.435316
45,1783607876.011446,5.5018,5.5716,0.2165,-0.8516,5.5018,-0.052746,-0.566108,0.132705,-0.842521,2.032631,0.447015
46,1783607881.189075,6.5581,6.6563,0.2192,-1.1181,6.5581,-0.054399,-0.567638,0.128120,-0.829687,2.002749,0.457693
47,1783607886.356892,8.0148,8.1509,0.2213,-1.4663,8.0148,-0.055849,-0.569074,0.123647,-0.818466,1.975436,0.468109
48,1783607891.231088,9.3884,9.5515,0.2576,-1.7386,9.3884,-0.056750,-0.570005,0.120604,-0.815811,1.969017,0.470373
49,1783607906.608079,1.9071,1.9880,0.5436,0.1399,1.9071,0.001953,-0.512473,0.183575,0.000049,3.141539,-0.000269
50,1783607914.806571,2.4378,2.4508,0.2322,-0.0990,2.4378,-0.011469,-0.535728,0.177692,-1.418765,2.456904,0.243403
51,1783607921.500808,3.0131,3.0292,0.1949,-0.2438,3.0131,-0.020317,-0.551022,0.168196,-1.314503,2.276752,0.379539
52,1783607927.436994,3.4744,3.4997,0.1897,-0.3749,3.4744,-0.025692,-0.560311,0.159975,-1.248834,2.163040,0.455615
53,1783607932.637348,4.1920,4.2336,0.2091,-0.5542,4.1920,-0.030055,-0.567855,0.151966,-1.191881,2.064581,0.516390
54,1783607937.948998,4.6107,4.6610,0.2232,-0.6454,4.6107,-0.031826,-0.570964,0.146888,-1.169917,2.025776,0.538402
55,1783607943.843814,4.5292,4.5780,0.2099,-0.6330,4.5292,-0.033568,-0.573973,0.141869,-1.149171,1.990384,0.558492
56,1783607948.793700,5.8300,5.9141,0.3152,-0.9424,5.8300,-0.036143,-0.578496,0.134715,-1.108110,1.919313,0.596664
57,1783607953.759781,6.2114,6.3010,0.2837,-1.0199,6.2114,-0.037015,-0.579880,0.131130,-1.100218,1.906144,0.603495
58,1783607958.643630,7.0518,7.1641,0.2088,-1.2463,7.0518,-0.037488,-0.580582,0.128082,-1.097834,1.901590,0.606057
59,1783607963.773529,8.5437,8.6947,0.2160,-1.5987,8.5437,-0.038469,-0.582503,0.123717,-1.083523,1.876111,0.619215
60,1783607968.780648,9.7738,9.9413,0.2403,-1.8011,9.7738,-0.038746,-0.582957,0.121703,-1.088859,1.885546,0.614305
61,1783607984.323349,2.2601,2.3344,0.5813,0.0556,2.2601,0.002690,-0.512762,0.183619,0.000065,3.141564,-0.000207
62,1783607993.078754,2.7555,2.7743,0.2516,-0.2005,2.7555,-0.005359,-0.542694,0.175832,-1.704605,2.221478,0.349193
63,1783607999.672089,3.5332,3.5639,0.2615,-0.3865,3.5332,-0.010029,-0.560214,0.165217,-1.574052,2.051372,0.521073
64,1783608005.057457,3.4996,3.5246,0.2175,-0.3589,3.4996,-0.011617,-0.566122,0.159965,-1.539806,2.006735,0.561612
65,1783608010.435584,4.2694,4.3124,0.2407,-0.5575,4.2694,-0.013854,-0.574418,0.151926,-1.472190,1.918023,0.637246
66,1783608015.749407,4.6684,4.7197,0.2602,-0.6431,4.6684,-0.014785,-0.577967,0.146869,-1.445464,1.883136,0.665258
67,1783608021.208112,4.9848,5.0457,0.2532,-0.7397,4.9848,-0.016288,-0.583490,0.141063,-1.405438,1.831627,0.705428
68,1783608026.494652,5.7867,5.8680,0.3552,-0.9063,5.7867,-0.016856,-0.585713,0.135418,-1.379804,1.797641,0.730550
69,1783608031.346275,6.3578,6.4490,0.3363,-1.0268,6.3578,-0.017128,-0.586615,0.132596,-1.378094,1.795444,0.732147
70,1783608036.262259,7.3672,7.4823,0.4050,-1.2432,7.3672,-0.017559,-0.588503,0.129236,-1.368630,1.783236,0.740931
71,1783608041.594986,9.2356,9.4020,0.3226,-1.7312,9.2356,-0.018242,-0.590772,0.123749,-1.341113,1.747334,0.766562
72,1783608046.477218,10.5053,10.6930,0.2815,-1.9751,10.5053,-0.018633,-0.592074,0.120617,-1.336724,1.741802,0.770465
73,1783608062.183675,2.6236,2.6966,0.6219,-0.0406,2.6236,0.003494,-0.512865,0.183590,0.000017,3.141555,-0.000270
74,1783608071.061996,2.6768,2.6940,0.2582,-0.1606,2.6768,0.003432,-0.543903,0.175865,-1.999222,1.999152,0.409647
75,1783608077.477615,3.5146,3.5431,0.2664,-0.3608,3.5146,0.003449,-0.562403,0.164867,-1.849910,1.849735,0.619934
76,1783608083.200959,4.0546,4.0931,0.2390,-0.5066,4.0546,0.003395,-0.571401,0.157301,-1.777106,1.777059,0.709166
77,1783608088.494393,3.8884,3.9227,0.2129,-0.4721,3.8884,0.003444,-0.576052,0.152507,-1.747841,1.747584,0.743002
78,1783608094.117450,4.9105,4.9719,0.2827,-0.7259,4.9105,0.003440,-0.581860,0.145100,-1.687280,1.687127,0.809867
79,1783608099.321234,5.0149,5.0763,0.3268,-0.7160,5.0149,0.003460,-0.585140,0.140514,-1.663520,1.663462,0.834935
80,1783608104.591638,5.8911,5.9772,0.3793,-0.9366,5.8911,0.003441,-0.588318,0.135409,-1.633846,1.633577,0.865288
81,1783608109.724635,6.8432,6.9534,0.4030,-1.1655,6.8432,0.003414,-0.591014,0.131245,-1.613699,1.613489,0.885147
82,1783608115.009244,8.2736,8.4231,0.4357,-1.5186,8.2736,0.003401,-0.593194,0.125701,-1.581972,1.581893,0.915607
83,1783608119.982459,9.4269,9.5993,0.4675,-1.7493,9.4269,0.003404,-0.593782,0.123844,-1.589380,1.589444,0.908559
84,1783608125.256931,11.3183,11.5289,0.4604,-2.1451,11.3183,0.003405,-0.596389,0.118498,-1.559795,1.559661,0.936613
85,1783608141.066783,2.8975,2.9641,0.6120,-0.1259,2.8975,0.004277,-0.512750,0.184023,0.000015,3.141591,0.000108
86,1783608150.282042,2.5153,2.5298,0.2392,-0.1267,2.5153,0.012337,-0.542712,0.175818,-2.268368,1.740550,0.464566
87,1783608156.308780,2.7826,2.7958,0.2203,-0.1592,2.7826,0.015778,-0.555576,0.168159,-2.168602,1.664008,0.623373
88,1783608162.224689,3.3105,3.3328,0.2340,-0.3055,3.3105,0.018600,-0.566105,0.159909,-2.073706,1.591217,0.756636
89,1783608168.214370,4.4387,4.4968,0.2914,-0.6592,4.4387,0.021321,-0.576230,0.149715,-1.961982,1.505446,0.895938
90,1783608173.040724,4.2037,4.2478,0.2936,-0.5349,4.2037,0.021821,-0.578004,0.146842,-1.957628,1.502114,0.901035
91,1783608178.496385,4.8854,4.9500,0.3376,-0.7220,4.8854,0.023024,-0.582552,0.140565,-1.907946,1.463974,0.957475
92,1783608183.463903,5.0241,5.0900,0.3500,-0.7376,5.0241,0.023554,-0.584508,0.137037,-1.895918,1.454802,0.970700
93,1783608188.841784,6.4819,6.5841,0.4197,-1.0766,6.4819,0.024383,-0.587656,0.130942,-1.852844,1.421724,1.016736
94,1783608193.836040,6.9698,7.0754,0.4329,-1.1382,6.9698,0.024517,-0.588126,0.129021,-1.861387,1.428278,1.007735
95,1783608199.245073,9.5468,9.7250,0.5595,-1.7666,9.5468,0.025438,-0.591559,0.122695,-1.812291,1.390518,1.058310
96,1783608204.239637,10.7948,10.9856,0.5682,-1.9578,10.7948,0.025571,-0.592090,0.120700,-1.820875,1.397317,1.049548
97,1783608220.009930,3.1369,3.2019,0.6056,-0.2123,3.1369,0.005025,-0.512467,0.183509,0.000031,3.141542,-0.000240
98,1783608229.513732,2.4622,2.4794,0.2568,-0.1387,2.4622,0.021114,-0.540229,0.175439,-2.497336,1.441872,0.532894
99,1783608236.081862,3.0804,3.1057,0.2611,-0.2967,3.0804,0.029613,-0.555010,0.165226,-2.352687,1.358320,0.778721
100,1783608241.144875,3.0742,3.0962,0.2538,-0.2665,3.0742,0.032900,-0.560560,0.160189,-2.309876,1.333698,0.842664
101,1783608246.834396,3.5699,3.6059,0.2780,-0.4262,3.5699,0.036689,-0.567214,0.152544,-2.232892,1.289473,0.949436
102,1783608252.442841,4.3989,4.4572,0.3271,-0.6396,4.3989,0.039625,-0.572258,0.145161,-2.163477,1.249312,1.038486
103,1783608257.644044,4.4379,4.4945,0.3673,-0.6090,4.4379,0.041251,-0.575039,0.140513,-2.136208,1.233266,1.071717
104,1783608262.901277,5.0957,5.1712,0.4563,-0.7527,5.0957,0.042865,-0.577800,0.135437,-2.101405,1.213381,1.112364
105,1783608268.027376,6.1649,6.2658,0.5263,-0.9890,6.1649,0.044097,-0.579907,0.131141,-2.077115,1.199288,1.139933
106,1783608273.023002,6.6042,6.7066,0.5600,-1.0249,6.6042,0.044161,-0.580018,0.128982,-2.086196,1.204569,1.129779
107,1783608278.445734,8.6423,8.7972,0.6097,-1.5261,8.6423,0.045840,-0.583014,0.122562,-2.033945,1.174287,1.187594
108,1783608283.437248,9.4642,9.6155,0.6072,-1.5868,9.4642,0.046125,-0.583521,0.120586,-2.043209,1.179785,1.177576
109,1783608299.158407,3.2739,3.3324,0.5499,-0.2908,3.2739,0.005667,-0.512009,0.183469,0.000004,3.141557,-0.000246
110,1783608308.940279,2.1539,2.1655,0.2141,-0.0656,2.1539,0.028451,-0.534635,0.175455,-2.702580,1.119513,0.576830
111,1783608315.243664,2.9091,2.9327,0.2788,-0.2450,2.9091,0.040782,-0.546979,0.164840,-2.557483,1.059247,0.856725
112,1783608320.878996,3.2948,3.3262,0.2788,-0.3609,3.2948,0.047225,-0.553450,0.157355,-2.476651,1.025800,0.988236
113,1783608326.147000,3.3604,3.3949,0.2776,-0.3950,3.3604,0.050430,-0.556698,0.152612,-2.442623,1.011994,1.038764
114,1783608331.749290,4.0285,4.0799,0.3265,-0.5565,4.0285,0.054635,-0.560880,0.145196,-2.372421,0.982828,1.138339
115,1783608336.648839,3.9199,3.9688,0.3049,-0.5413,3.9199,0.056083,-0.562375,0.142121,-2.364440,0.979523,1.148946
116,1783608342.132677,4.5761,4.6437,0.4188,-0.6696,4.5761,0.059063,-0.565292,0.135390,-2.308277,0.956352,1.222150
117,1783608347.243347,5.3204,5.4041,0.4755,-0.8193,5.3204,0.060692,-0.566881,0.131058,-2.283599,0.945916,1.252973
118,1783608352.102620,6.0750,6.1726,0.5242,-0.9595,6.0750,0.061382,-0.567559,0.128032,-2.279117,0.944014,1.258441
119,1783608357.012377,7.2604,7.3833,0.5423,-1.2271,7.2604,0.062308,-0.568528,0.124805,-2.270068,0.940442,1.269719
120,1783608362.391551,9.1767,9.3438,0.5572,-1.6684,9.1767,0.064668,-0.571022,0.118481,-2.217732,0.919002,1.331558
121,1783608378.074603,3.2926,3.3432,0.4659,-0.3443,3.2926,0.006158,-0.511364,0.183520,0.000009,3.141531,-0.000312
122,1783608388.127987,2.4850,2.5022,0.2005,-0.2141,2.4850,0.038365,-0.529821,0.173200,-2.827376,0.757519,0.718068
123,1783608393.760957,2.4095,2.4210,0.1758,-0.1576,2.4095,0.046977,-0.534854,0.166849,-2.763719,0.740701,0.860001
124,1783608399.991586,2.9914,3.0193,0.2289,-0.3397,2.9914,0.056860,-0.540579,0.157244,-2.658367,0.712279,1.060637
125,1783608405.681942,3.4851,3.5287,0.2741,-0.4805,3.4851,0.063068,-0.544176,0.149741,-2.586037,0.692902,1.180933
126,1783608410.582647,3.2454,3.2781,0.2414,-0.3937,3.2454,0.063830,-0.544617,0.147647,-2.594496,0.695139,1.167589
127,1783608415.846930,3.5815,3.6249,0.3140,-0.4626,3.5815,0.068795,-0.547482,0.140468,-2.528285,0.677689,1.268531
128,1783608421.237720,3.6593,3.7059,0.2781,-0.5151,3.6593,0.070425,-0.548418,0.136894,-2.515102,0.673896,1.288238
129,1783608426.147590,4.7461,4.8194,0.3947,-0.7388,4.7461,0.073504,-0.550225,0.131080,-2.468134,0.661720,1.354031
130,1783608431.164851,5.3080,5.3907,0.4361,-0.8330,5.3080,0.073862,-0.550404,0.129075,-2.477113,0.663903,1.341497
131,1783608436.590965,6.8336,6.9587,0.4854,-1.2202,6.8336,0.076906,-0.552134,0.122603,-2.422978,0.649061,1.414854
132,1783608441.661047,7.8737,8.0088,0.5373,-1.3626,7.8737,0.078617,-0.553096,0.118420,-2.401560,0.643639,1.441835
133,1783608456.591399,2.5514,2.5795,0.1258,-0.3582,2.5514,0.022943,-0.514987,0.181589,-3.053010,0.402200,0.410937
134,1783608462.591163,1.8023,1.8053,0.0697,-0.0791,1.8023,0.037479,-0.518897,0.175433,-2.994435,0.394237,0.639157
135,1783608468.097196,1.9975,2.0016,0.0908,-0.0897,1.9975,0.049513,-0.522103,0.168253,-2.925426,0.385374,0.844744
136,1783608474.168278,2.4076,2.4200,0.1130,-0.2176,2.4076,0.059851,-0.524890,0.160025,-2.845791,0.374675,1.037726
137,1783608479.607175,3.3519,3.3893,0.1998,-0.4601,3.3519,0.069911,-0.527600,0.149720,-2.739156,0.360826,1.251353
138,1783608484.806116,3.4631,3.5053,0.2256,-0.4928,3.4631,0.073167,-0.528426,0.145044,-2.711170,0.356548,1.301353
139,1783608490.279263,3.1889,3.2301,0.2220,-0.4637,3.1889,0.076207,-0.529294,0.140504,-2.684727,0.353573,1.347086
140,1783608495.245871,2.8454,2.8719,0.2033,-0.3313,2.8454,0.076930,-0.529479,0.138451,-2.693181,0.354601,1.332657
141,1783608500.546874,4.2524,4.3154,0.3014,-0.6704,4.2524,0.081382,-0.530704,0.130986,-2.626486,0.345912,1.441370
142,1783608506.063138,5.0575,5.1419,0.3523,-0.8584,5.0575,0.083264,-0.531153,0.126733,-2.604066,0.342792,1.475874
143,1783608510.672438,5.7575,5.8496,0.4192,-0.9449,5.7575,0.084285,-0.531423,0.125001,-2.613492,0.344059,1.461512
144,1783608515.737245,7.1102,7.2373,0.3801,-1.2960,7.1102,0.086064,-0.531926,0.120750,-2.591772,0.340898,1.494355
145,1783608531.102231,2.5213,2.5544,0.0627,-0.4050,2.5213,0.023619,-0.509785,0.181534,3.113488,0.000028,-0.419039
146,1783608536.919924,2.2266,2.2395,0.0803,-0.2261,2.2266,0.043913,-0.509761,0.173409,-3.044741,-0.000007,0.773336
147,1783608542.962278,2.2547,2.2649,0.0860,-0.1972,2.2547,0.056121,-0.509790,0.164973,2.978950,-0.000025,-0.997500
148,1783608548.111955,2.6560,2.6734,0.1062,-0.2850,2.6560,0.065127,-0.509802,0.157343,-2.918060,0.000099,1.163786
149,1783608553.646057,3.1439,3.1784,0.1375,-0.4468,3.1439,0.072321,-0.509794,0.149848,2.857701,-0.000371,-1.304613
150,1783608558.620669,2.8985,2.9239,0.1175,-0.3658,2.8985,0.073250,-0.509830,0.147849,2.864791,-0.000534,-1.288455
151,1783608564.134439,3.5060,3.5542,0.1634,-0.5596,3.5060,0.078867,-0.509824,0.140649,2.807673,0.000020,-1.408746
152,1783608569.391567,3.7069,3.7591,0.2285,-0.5805,3.7069,0.081957,-0.509782,0.135413,-2.776542,0.000187,1.469687
153,1783608574.537590,4.4300,4.5038,0.2431,-0.7745,4.4300,0.084190,-0.509775,0.131099,-2.754129,-0.000082,1.511200
154,1783608579.386487,4.8708,4.9502,0.2653,-0.8419,4.8708,0.085293,-0.509776,0.128119,-2.750223,0.000034,1.518438
155,1783608584.718657,5.8766,5.9786,0.3026,-1.0567,5.8766,0.088021,-0.509836,0.122517,-2.713034,-0.000220,1.583970
156,1783608589.746310,6.6631,6.7740,0.3084,-1.1815,6.6631,0.088613,-0.509793,0.120549,2.721708,-0.000377,-1.568781
157,1783608604.856772,2.7794,2.8108,0.1618,-0.3864,2.7794,0.006456,-0.509004,0.183884,-0.000002,3.141533,-0.000521
158,1783608615.833749,1.8770,1.8793,0.0367,-0.0854,1.8770,0.037537,-0.500638,0.175478,2.994545,0.394252,-0.639292
159,1783608621.802671,2.1783,2.1824,0.0383,-0.1280,2.1783,0.051906,-0.496833,0.166751,2.902849,0.381695,-0.902988
160,1783608627.652043,2.6300,2.6442,0.0751,-0.2624,2.6300,0.063135,-0.493787,0.157335,2.807305,0.369805,-1.119832
161,1783608633.189977,3.0960,3.1260,0.0909,-0.4218,3.0960,0.070027,-0.491982,0.149867,2.739291,0.360233,-1.250655
162,1783608638.398060,3.4938,3.5353,0.1408,-0.5213,3.4938,0.073114,-0.491155,0.145170,2.711439,0.357236,-1.300875
163,1783608643.744829,3.8067,3.8608,0.1598,-0.6240,3.8067,0.077249,-0.490049,0.139281,2.666653,0.350963,-1.376764
164,1783608648.816880,3.9572,4.0175,0.1966,-0.6652,3.9572,0.079292,-0.489504,0.135454,2.650584,0.348631,-1.403128
165,1783608653.798160,3.8497,3.8965,0.2027,-0.5675,3.8497,0.079698,-0.489399,0.133400,2.659440,0.350267,-1.389111
166,1783608659.256579,5.4322,5.5277,0.3035,-0.9765,5.4322,0.083794,-0.488257,0.126935,2.603984,0.342846,-1.475929
167,1783608664.254249,5.6636,5.7544,0.2941,-0.9750,5.6636,0.083725,-0.488329,0.124808,2.613476,0.343950,-1.461551
168,1783608669.715078,7.2768,7.4122,0.3583,-1.3638,7.2768,0.087330,-0.487340,0.118539,2.561939,0.337584,-1.537981
169,1783608691.048323,2.4844,2.5107,0.0411,-0.3603,2.4844,0.006151,-0.508264,0.183602,0.000005,3.141518,-0.000506
170,1783608701.596343,2.0716,2.0784,0.0208,-0.1669,2.0716,0.034010,-0.492254,0.175530,2.869455,0.768508,-0.612542
171,1783608707.421910,2.0031,2.0042,0.0282,-0.0597,2.0031,0.044595,-0.486095,0.168414,2.790779,0.747361,-0.801712
172,1783608713.478801,2.8426,2.8604,0.1115,-0.2984,2.8426,0.057033,-0.478902,0.157541,2.658252,0.711614,-1.060541
173,1783608719.144069,3.3684,3.3996,0.1570,-0.4314,3.3684,0.063060,-0.475420,0.149782,2.585901,0.692816,-1.180946
174,1783608724.398402,3.8274,3.8706,0.2273,-0.5294,3.8274,0.065840,-0.473769,0.145054,2.556475,0.685552,-1.227257
175,1783608729.560417,3.8959,3.9435,0.2590,-0.5535,3.8959,0.068645,-0.472131,0.140481,2.528524,0.677767,-1.268814
