press,t_peak,peak_Fz,peak_Fmag,Fx,Fy,Fz,x,y,z,rx,ry,rz
1,1783592752.468346,7.2356,7.2954,0.8480,-0.3866,7.2356,0.000288,-0.509809,0.183678,0.000035,3.141507,-0.000616
2,1783592759.414025,6.6317,6.7117,1.0327,0.0341,6.6317,-0.036777,-0.509770,0.172820,0.000210,2.650215,0.000186
3,1783592765.269997,6.2632,6.3114,0.7493,-0.2103,6.2632,-0.049895,-0.509787,0.164310,-0.000278,2.502284,-0.000298
4,1783592771.044437,5.9255,5.9622,0.4956,-0.4376,5.9255,-0.059887,-0.509792,0.155523,0.000125,2.375329,-0.000376
5,1783592776.706853,5.7452,5.7833,0.3402,-0.5693,5.7452,-0.067389,-0.509805,0.146897,0.000082,2.267571,-0.000410
6,1783592782.133163,5.4431,5.4809,0.2070,-0.6082,5.4431,-0.072180,-0.509797,0.139998,-0.000285,2.200490,-0.000066
7,1783592787.476356,5.7294,5.7769,0.1311,-0.7270,5.7294,-0.076077,-0.509801,0.133588,0.000004,2.142849,-0.000145
8,1783592792.397985,5.3910,5.4246,0.0535,-0.6010,5.3910,-0.076805,-0.509812,0.131081,-0.000051,2.153955,-0.000140
9,1783592797.830038,6.7760,6.8414,0.0205,-0.9437,6.7760,-0.080778,-0.509787,0.123612,0.000095,2.080995,0.000003
10,1783592802.770008,7.1438,7.2007,-0.0262,-0.9024,7.1438,-0.081475,-0.509776,0.121086,0.000321,2.092040,0.000362
11,1783592808.067019,8.4684,8.5339,-0.0557,-1.0540,8.4684,-0.085483,-0.509834,0.114217,-0.000461,2.027103,-0.000413
12,1783592813.109119,6.9473,6.9827,-0.6329,0.3035,6.9473,-0.084955,-0.509786,0.111516,0.000110,2.038393,0.000171
13,1783592828.521954,7.3796,7.4434,0.8594,-0.4550,7.3796,0.000392,-0.510629,0.184002,0.000009,3.141527,-0.000591
14,1783592835.304926,6.1423,6.2328,1.0218,0.2758,6.1423,-0.029962,-0.518767,0.175390,-0.357851,2.716632,0.073117
15,1783592841.450857,6.7689,6.8492,1.0345,-0.1523,6.7689,-0.048010,-0.523621,0.164371,-0.327277,2.484427,0.107814
16,1783592847.392525,6.5596,6.6108,0.6588,-0.4910,6.5596,-0.060755,-0.526978,0.152417,-0.302295,2.297669,0.132913
17,1783592852.616921,6.1790,6.2251,0.3916,-0.6465,6.1790,-0.064976,-0.528144,0.146877,-0.296484,2.252161,0.138332
18,1783592857.647794,5.3163,5.3476,0.1639,-0.5543,5.3163,-0.067690,-0.528831,0.142644,-0.293677,2.231375,0.141242
19,1783592863.250267,5.8047,5.8548,0.0748,-0.7604,5.8047,-0.073691,-0.530522,0.133627,-0.280046,2.128339,0.152868
20,1783592868.295303,5.8206,5.8695,-0.0406,-0.7550,5.8206,-0.075190,-0.530857,0.129370,-0.277661,2.112328,0.155079
21,1783592874.229223,6.3444,6.4033,0.0275,-0.8657,6.3444,-0.076358,-0.531206,0.126014,-0.277499,2.107220,0.155031
22,1783592878.320743,7.8632,7.9415,-0.0354,-1.1117,7.8632,-0.078744,-0.531898,0.121130,-0.273506,2.077894,0.158310
23,1783592883.648331,9.0883,9.1593,-0.2065,-1.1191,9.0883,-0.080837,-0.532333,0.115260,-0.267603,2.035644,0.163352
24,1783592888.507731,9.1403,9.1710,-0.2522,-0.7061,9.1403,-0.083909,-0.533253,0.111981,-0.266295,2.024416,0.163662
25,1783592903.869490,7.6008,7.6595,0.7788,-0.5382,7.6008,0.000723,-0.511432,0.183579,0.000001,3.141519,-0.000410
26,1783592911.245460,5.2995,5.4184,0.9708,0.5758,5.2995,-0.026548,-0.527171,0.175572,-0.711540,2.654107,0.145338
27,1783592917.676115,5.7327,5.7985,0.8549,0.1681,5.7327,-0.042667,-0.536423,0.164227,-0.651064,2.429882,0.215535
28,1783592923.233011,6.9478,7.0083,0.8262,-0.4018,6.9478,-0.054129,-0.543092,0.152300,-0.602879,2.248995,0.264922
29,1783592928.905106,7.0087,7.0724,0.5595,-0.7641,7.0087,-0.057831,-0.545183,0.146794,-0.590744,2.204821,0.276016
30,1783592934.823693,6.3351,6.3941,0.3558,-0.7902,6.3351,-0.061140,-0.547149,0.141493,-0.580126,2.164787,0.285706
31,1783592939.216300,6.5837,6.6519,0.1634,-0.9364,6.5837,-0.065163,-0.549424,0.134473,-0.561589,2.098091,0.301538
32,1783592945.175266,6.1724,6.2338,0.0960,-0.8678,6.1724,-0.066188,-0.550089,0.131169,-0.561691,2.095465,0.301985
33,1783592949.477276,7.5755,7.6618,0.0331,-1.1464,7.5755,-0.069030,-0.551670,0.124740,-0.547484,2.042980,0.314202
34,1783592955.927319,9.0558,9.1735,0.1935,-1.4517,9.0558,-0.071294,-0.552970,0.118736,-0.535429,1.998339,0.323893
35,1783592959.877197,11.0302,11.1484,-0.0324,-1.6189,11.0302,-0.071718,-0.553146,0.116258,-0.538241,2.008928,0.321815
36,1783592964.994073,10.8630,10.8787,-0.2350,-0.5367,10.8630,-0.073551,-0.554289,0.111642,-0.531682,1.984224,0.327058
37,1783592980.182771,7.5673,7.6167,0.6427,-0.5812,7.5673,0.001231,-0.512097,0.183606,0.000025,3.141522,-0.000392
38,1783592988.045222,4.4326,4.5832,0.8073,0.8404,4.4326,-0.021069,-0.534277,0.175519,-1.056342,2.550190,0.216343
39,1783592994.515647,5.1435,5.2008,0.6892,0.3428,5.1435,-0.034193,-0.547475,0.164215,-0.969077,2.339513,0.320709
40,1783593000.297267,6.9928,7.0443,0.6731,-0.5194,6.9928,-0.041270,-0.554549,0.155395,-0.921457,2.224560,0.371346
41,1783593005.974251,7.3550,7.4255,0.4857,-0.8980,7.3550,-0.045985,-0.559255,0.147684,-0.887278,2.142177,0.405292
42,1783593011.285677,7.8403,7.9378,0.3141,-1.1995,7.8403,-0.050899,-0.564167,0.138799,-0.846664,2.043790,0.443073
43,1783593016.305578,6.3275,6.3891,0.1207,-0.8765,6.3275,-0.051471,-0.564774,0.136190,-0.851001,2.053810,0.439007
44,1783593021.519323,6.2357,6.2980,-0.0688,-0.8810,6.2357,-0.053357,-0.566604,0.131020,-0.837887,2.022393,0.451139
45,1783593027.027639,8.5006,8.6159,0.1273,-1.3991,8.5006,-0.056170,-0.569501,0.123585,-0.809890,1.954956,0.474666
46,1783593031.936471,10.0652,10.2108,0.1231,-1.7137,10.0652,-0.057037,-0.570308,0.119992,-0.807163,1.948547,0.477064
47,1783593036.789192,11.8915,12.0462,0.1542,-1.9185,11.8915,-0.058167,-0.571472,0.116444,-0.803246,1.939957,0.480303
48,1783593042.219048,12.9360,13.0270,0.1347,-1.5313,12.9360,-0.061528,-0.574895,0.109704,-0.779911,1.883010,0.498968
49,1783593057.850631,7.4190,7.4567,0.4999,-0.5579,7.4190,0.001889,-0.512585,0.183613,0.000068,3.141520,-0.000401
50,1783593066.108055,3.2032,3.4768,0.5704,1.2259,3.2032,-0.014380,-0.540752,0.175066,-1.381592,2.392240,0.294574
51,1783593072.910800,4.6907,4.7533,0.5546,0.5330,4.6907,-0.025196,-0.559454,0.161129,-1.243415,2.153734,0.461623
52,1783593077.941352,7.6963,7.7523,0.7050,-0.6068,7.6963,-0.028000,-0.564262,0.155694,-1.220287,2.113144,0.487051
53,1783593083.538862,8.1979,8.2821,0.5008,-1.0660,8.1979,-0.031519,-0.570423,0.147730,-1.172574,2.030938,0.535762
54,1783593088.941134,7.5947,7.6852,0.3028,-1.1361,7.5947,-0.033874,-0.574492,0.141538,-1.143658,1.981037,0.563385
55,1783593094.533976,7.8091,7.9126,0.2730,-1.2461,7.8091,-0.036340,-0.578775,0.133535,-1.102961,1.910022,0.601446
56,1783593099.483325,7.7606,7.8663,0.1337,-1.2785,7.7606,-0.037370,-0.580453,0.129562,-1.095198,1.896578,0.608324
57,1783593104.604070,8.2503,8.3602,0.0327,-1.3508,8.2503,-0.038314,-0.582209,0.124691,-1.081801,1.873043,0.620731
58,1783593109.485285,9.7854,9.9200,0.0552,-1.6278,9.7854,-0.039125,-0.583637,0.121175,-1.077898,1.866452,0.624178
59,1783593114.947323,13.1572,13.3290,0.2979,-2.1124,13.1572,-0.040560,-0.586107,0.113980,-1.045744,1.810845,0.651375
60,1783593119.885766,12.6359,12.7042,0.0406,-1.3147,12.6359,-0.041669,-0.587918,0.111952,-1.051071,1.820676,0.646020
61,1783593132.960140,2.3603,2.5030,0.0813,0.8292,2.3603,-0.000294,-0.523715,0.183416,-1.822539,2.375014,0.165086
62,1783593139.300482,2.1086,2.5912,0.2042,1.4921,2.1086,-0.005548,-0.543227,0.175397,-1.704859,2.221532,0.348973
63,1783593146.624137,5.0155,5.0606,0.4877,0.4645,5.0155,-0.010306,-0.561256,0.164210,-1.574096,2.051396,0.520998
64,1783593152.425282,7.6830,7.7371,0.5428,-0.7350,7.6830,-0.012795,-0.570559,0.155734,-1.505413,1.961909,0.600621
