press,t_peak,peak_Fz,peak_Fmag,Fx,Fy,Fz,x,y,z,rx,ry,rz
1,1783603406.396192,0.4571,0.5412,-0.0237,0.2887,0.4571,0.000418,-0.509806,0.183588,0.000017,3.141497,-0.000566
2,1783603412.833324,1.5204,1.5230,0.0561,0.0679,1.5204,-0.024490,-0.509812,0.178200,-0.000031,2.829158,-0.000138
3,1783603419.363278,2.5961,2.6058,0.1078,-0.1980,2.5961,-0.048783,-0.509775,0.165326,-0.000131,2.502263,-0.000336
4,1783603424.756657,2.4056,2.4087,0.0719,-0.0992,2.4056,-0.054838,-0.509805,0.160046,-0.000369,2.441960,-0.000273
5,1783603430.416572,2.8429,2.8512,0.0820,-0.2010,2.8429,-0.062652,-0.509807,0.152540,-0.000488,2.337431,-0.000497
6,1783603435.787822,3.0469,3.0564,0.0836,-0.2252,3.0469,-0.067050,-0.509809,0.146848,-0.000123,2.278703,-0.000417
7,1783603441.197661,3.4343,3.4499,0.0929,-0.3138,3.4343,-0.071824,-0.509785,0.140541,0.000215,2.211581,0.000121
8,1783603446.122946,3.2762,3.2865,0.0774,-0.2486,3.2762,-0.073595,-0.509788,0.137169,0.000062,2.199553,0.000227
9,1783603451.301501,3.8583,3.8781,0.1324,-0.3685,3.8583,-0.076004,-0.509804,0.132652,-0.000286,2.165048,-0.000392
10,1783603456.266085,4.4093,4.4377,0.1517,-0.4776,4.4093,-0.077542,-0.509803,0.129085,0.000094,2.149237,0.000019
11,1783603461.533046,5.4452,5.5000,0.1725,-0.7549,5.4452,-0.080293,-0.509770,0.123661,-0.000273,2.103181,-0.000009
12,1783603466.637940,6.6035,6.6845,0.2209,-1.0136,6.6035,-0.082370,-0.509786,0.119399,-0.000350,2.075391,-0.000389
13,1783603482.081675,0.6503,0.7298,0.1056,0.3138,0.6503,0.000518,-0.510588,0.183531,0.000010,3.141512,-0.000461
