x_tcp,y_tcp,z_tcp,rx,ry,rz,x,y,z
0.00249,-0.51352,0.2,2.0,2.2,0.0,0.013154207542515,-0.5232147341295591,0.1270662349995747
0.00697,-0.4626,0.18588,1.9727,-1.9622,0.4924,0.0088208798856611,-0.5015548543075464,0.12108084103826039
0.00871,-0.4344099999999999,0.15859,1.7986,-1.7834,0.7216,0.0105384992299323,-0.4928728267223327,0.10739434604827519
0.00428,-0.42443,0.14634,1.7384,-1.7216,0.7908,0.0061244758662122,-0.4884394274595856,0.1007845028322634
0.05995,-0.51655,0.17935,1.8746,-1.8875,-0.6108,0.0107980624387046,-0.5147074173908551,0.12065432739494919
0.07745,-0.51652,0.16476,1.7643,-1.78,-0.7435,0.0172063640754866,-0.5146863112637597,0.1152639168633133
0.09425,-0.51651,0.13923,1.6282,-1.6469,-0.8865,0.0230371817907562,-0.514686720566957,0.10289898532817879
0.00249,-0.572,0.1792,-1.8694,1.8814,0.5543,0.0043341746507936,-0.5238444670428938,0.1198204859943966
0.0025499999999999,-0.5864,0.16385,-1.784,1.7983,0.6625,0.0043990444045635,-0.5292256253523817,0.1114841770398935
0.00289,-0.5953999999999999,0.1498,-1.6941,1.7098,0.7679,0.0046334248406818,-0.5299863206718478,0.10584667548811649
-0.0566,-0.51351,0.17632,-1.8664,1.854,-0.5748,-0.0067220817664619,-0.5116742130806068,0.1181355573372995
-0.07474,-0.5135,0.16104,-1.7716,1.7568,-0.6951,-0.0149366389730333,-0.5116619599409303,0.11111476532930399
-0.09387,-0.5135,0.13156,-1.5602,1.5408,-0.9213,-0.017719032716012,-0.5116832679298717,0.10348845611329169
